,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Clinic,number of cycles started,Number of cycles reaching egg collection stage,Number of cycles reaching embryo transfer stage,Average number of embryos transferred during all cycles,Proportion single embryo transfers (elective),Proportion of single embryo transfers (non elective),Proportion of two embryo transfers,Proportion of three embryo transfers,Patient had not produced enough eggs to collect after taking fertility drugs,Patient had an adverse reaction to fertility drugs â€“ unsafe to continue cycle,other,Reason not supplied,Over response (Patient has produced too many eggs after taking fertility drugs and it would not be safe to continue the cycle),Embryos did not develop normally,Embryos did not thaw properly (when cycle was using frozen embryos),Embryos tested positive for a genetic test,Other,No embryos developed,Reason not supplied,Total number of embryos transferred during all cycles,Proportion of all embryos transfers that were blastocysts,Pregnancies per cycle,Pregnancies per cycle %,Live births per cycle,Live births per cycle %,Singleton live births per cycle,Singleton live births per cycle %,Multiple births per cycle,Multiple births per cycle %,Live births per egg collection,Live births per egg collection %,Live births per embryo transfer,Live births per embryo transfer %,Pregnancies per embryo transferred,Pregnancies per embryo transferred %,Live births per embryo transferred,Live births per embryo transferred %,Singleton live births per embryo transferred,Singleton live births per embryo transferred %,Multiple births per embryo transferred,Multiple births per embryo transferred %
"CREATE Fertility, London St Paul's",101,101,100,1.1,65%,25%,10%,0%,0,0,0,0,0,0,0,0,0,1,0,110,87%,40,40%,30,30%,29,29%,1,1%,30,30%,30,30%,40,36%,30,27%,29,26%,1,1%
"CREATE Fertility, London Wimbledon",13,13,13,1.23,62%,15%,23%,0%,0,0,0,0,0,0,0,0,0,0,0,16,38%,7,54%,6,46%,6,46%,0,0%,6,46%,6,46%,7,44%,6,38%,6,38%,0,0%
Aberdeen Fertility Centre,103,101,91,1.09,82%,9%,9%,0%,1,0,1,0,0,1,0,0,0,9,0,99,57%,27,26%,26,25%,26,25%,0,0%,26,26%,26,29%,27,27%,26,26%,26,26%,0,0%
Agora Clinic Brighton,139,138,131,1.18,28%,54%,18%,0%,1,0,0,0,1,1,0,0,2,3,0,154,75%,56,40%,49,35%,46,33%,3,2%,49,36%,49,37%,56,36%,49,32%,46,30%,3,2%
Manchester Fertility,157,146,122,1.3,56%,15%,30%,0%,8,0,2,1,3,0,0,0,6,15,0,158,73%,50,32%,45,29%,41,26%,4,3%,45,31%,45,37%,50,32%,45,28%,41,26%,4,3%
Hewitt Fertility Centre,262,256,185,1.16,70%,14%,16%,0%,5,0,0,1,1,8,0,0,51,11,0,215,82%,61,23%,55,21%,53,20%,2,1%,55,21%,55,30%,61,28%,55,26%,53,25%,2,1%
Assisted Reproduction and Gynaecology Centre,113,113,111,1.94,4%,9%,81%,6%,0,0,0,0,0,0,0,0,0,2,0,215,64%,70,62%,63,56%,48,42%,15,13%,63,56%,63,57%,70,33%,63,29%,48,22%,15,7%
The Lister Fertility Clinic,389,381,321,1.29,60%,11%,29%,0%,0,0,5,3,0,0,0,0,46,15,0,413,77%,132,34%,116,30%,103,26%,13,3%,116,30%,116,36%,132,32%,116,28%,103,25%,13,3%
Barts Health Centre for Reproductive Medicine,196,189,159,1.47,34%,19%,47%,0%,5,1,1,0,4,0,0,0,12,14,0,234,57%,69,35%,63,32%,55,28%,8,4%,63,33%,63,40%,69,29%,63,27%,55,24%,8,3%
