,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Clinic,number of cycles started,Number of cycles reaching egg collection stage,Number of cycles reaching embryo transfer stage,Average number of embryos transferred during all cycles,Proportion single embryo transfers (elective),Proportion of single embryo transfers (non elective),Proportion of two embryo transfers,Proportion of three embryo transfers,Patient had not produced enough eggs to collect after taking fertility drugs,Patient had an adverse reaction to fertility drugs â€“ unsafe to continue cycle,other,Reason not supplied,Over response (Patient has produced too many eggs after taking fertility drugs and it would not be safe to continue the cycle),Embryos did not develop normally,Embryos did not thaw properly (when cycle was using frozen embryos),Embryos tested positive for a genetic test,Other,No embryos developed,Reason not supplied,Total number of embryos transferred during all cycles,Proportion of all embryos transfers that were blastocysts,Pregnancies per cycle,Pregnancies per cycle %,Live births per cycle,Live births per cycle %,Singleton live births per cycle,Singleton live births per cycle %,Multiple births per cycle,Multiple births per cycle %,Live births per egg collection,Live births per egg collection %,Live births per embryo transfer,Live births per embryo transfer %,Pregnancies per embryo transferred,Pregnancies per embryo transferred %,Live births per embryo transferred,Live births per embryo transferred %,Singleton live births per embryo transferred,Singleton live births per embryo transferred %,Multiple births per embryo transferred,Multiple births per embryo transferred %
"CREATE Fertility, London St Paul's",47,47,47,1.04,72%,23%,4%,0%,0,0,0,0,0,0,0,0,0,0,0,49,98%,15,32%,10,21%,9,19%,1,2%,10,21%,10,21%,15,31%,10,20%,9,18%,1,2%
Aberdeen Fertility Centre,43,40,36,1.28,67%,6%,28%,0%,3,0,0,0,0,1,0,0,0,3,0,46,50%,10,23%,6,14%,6,14%,0,0%,6,15%,6,17%,10,22%,6,13%,6,13%,0,0%
Agora Clinic Brighton,120,115,103,1.31,21%,48%,31%,0%,3,0,2,0,8,0,0,0,2,2,0,135,68%,32,27%,29,24%,25,21%,4,3%,29,25%,29,28%,32,24%,29,21%,25,19%,4,3%
Manchester Fertility,110,99,85,1.38,38%,25%,38%,0%,9,0,1,1,0,0,0,0,7,7,0,117,65%,20,18%,15,14%,14,13%,1,1%,15,15%,15,18%,20,17%,15,13%,14,12%,1,1%
Hewitt Fertility Centre,174,165,129,1.35,50%,16%,35%,0%,7,0,0,2,2,5,0,0,22,7,0,174,78%,34,20%,27,16%,26,15%,1,1%,27,16%,27,21%,34,20%,27,16%,26,15%,1,1%
Assisted Reproduction and Gynaecology Centre,83,83,82,1.95,2%,5%,90%,2%,0,0,0,0,0,0,0,0,0,1,0,160,54%,45,54%,35,42%,27,33%,8,10%,35,42%,35,43%,45,28%,35,22%,27,17%,8,5%
The Lister Fertility Clinic,301,281,242,1.48,40%,12%,47%,0%,2,0,7,11,0,2,0,0,32,11,0,358,76%,86,29%,71,24%,63,21%,8,3%,71,25%,71,29%,86,24%,71,20%,63,18%,8,2%
Barts Health Centre for Reproductive Medicine,150,141,116,1.41,34%,26%,41%,0%,7,1,1,0,4,0,0,0,6,15,0,163,55%,44,29%,35,23%,32,21%,3,2%,35,25%,35,30%,44,27%,35,21%,32,20%,3,2%
Beginnings at Epsom & St Helier NHS University Trust,21,18,15,1.8,13%,7%,80%,0%,3,0,0,0,0,0,0,0,0,3,0,27,33%,2,10%,1,5%,1,5%,0,0%,1,6%,1,7%,2,7%,1,4%,1,4%,0,0%
Birmingham Women's Hospital,114,102,85,1.41,42%,16%,41%,0%,9,0,2,1,5,2,0,0,1,9,0,120,45%,27,24%,23,20%,21,18%,2,2%,23,23%,23,27%,27,23%,23,19%,21,18%,2,2%
BMI The Priory Hospital,43,40,33,1.48,36%,15%,48%,0%,3,0,0,0,1,0,0,0,4,2,0,49,45%,13,30%,10,23%,8,19%,2,5%,10,25%,10,30%,13,27%,10,20%,8,16%,2,4%
Boston Place,40,35,34,1.53,38%,9%,53%,0%,3,0,0,2,0,0,0,0,0,2,0,52,82%,10,25%,8,20%,7,18%,1,3%,8,23%,8,24%,10,19%,8,15%,7,13%,1,2%
Bourn Hall Clinic,135,125,116,1.53,22%,25%,53%,0%,5,0,1,4,1,1,0,0,2,5,0,177,56%,34,25%,27,20%,27,20%,0,0%,27,22%,27,23%,34,19%,27,15%,27,15%,0,0%
Bourn Hall Clinic Norwich,41,37,33,1.58,30%,12%,58%,0%,2,0,1,1,0,0,0,0,0,4,0,52,61%,12,29%,10,24%,9,22%,1,2%,10,27%,10,30%,12,23%,10,19%,9,17%,1,2%
Bristol Centre for Reproductive Medicine,79,74,70,1.74,23%,3%,74%,0%,2,0,3,0,0,1,0,0,0,3,0,122,74%,31,39%,31,39%,21,27%,10,13%,31,42%,31,44%,31,25%,31,25%,21,17%,10,8%
TFP NURTURE Fertility,118,112,95,1.62,11%,27%,62%,0%,4,0,1,1,0,9,0,0,4,4,0,154,88%,42,36%,37,31%,30,25%,7,6%,37,33%,37,39%,42,27%,37,24%,30,19%,7,5%
Cambridge IVF,34,32,28,1.32,46%,21%,32%,0%,2,0,0,0,2,0,0,0,2,0,0,37,46%,7,21%,7,21%,6,18%,1,3%,7,22%,7,25%,7,19%,7,19%,6,16%,1,3%
CARE  Birmingham,35,31,29,1.48,34%,17%,48%,0%,3,0,1,0,0,0,0,0,0,2,0,43,59%,11,31%,11,31%,9,26%,2,6%,11,35%,11,38%,11,26%,11,26%,9,21%,2,5%
CARE Bath,63,61,58,1.5,41%,9%,50%,0%,2,0,0,0,0,1,0,0,0,2,0,87,60%,17,27%,16,25%,13,21%,3,5%,16,26%,16,28%,17,20%,16,18%,13,15%,3,3%
CARE Northampton,80,78,71,1.45,42%,13%,45%,0%,1,0,1,0,0,0,0,0,4,3,0,103,70%,21,26%,17,21%,16,20%,1,1%,17,22%,17,24%,21,20%,17,17%,16,16%,1,1%
CARE Manchester,120,114,103,1.3,36%,34%,30%,0%,3,0,3,0,0,0,0,0,3,8,0,134,56%,22,18%,19,16%,18,15%,1,1%,19,17%,19,18%,22,16%,19,14%,18,13%,1,1%
CARE Tunbridge Wells,63,59,52,1.31,44%,25%,31%,0%,3,0,1,0,0,0,0,0,4,3,0,68,87%,22,35%,19,30%,18,29%,1,2%,19,32%,19,37%,22,32%,19,28%,18,26%,1,1%
CARE Nottingham,86,80,65,1.38,54%,8%,38%,0%,4,0,2,0,2,1,0,0,8,4,0,90,75%,18,21%,17,20%,14,16%,3,3%,17,21%,17,26%,18,20%,17,19%,14,16%,3,3%
CARE London,113,98,82,1.55,22%,23%,55%,0%,13,0,2,0,6,0,0,0,2,8,0,127,62%,29,26%,25,22%,21,19%,4,4%,25,26%,25,30%,29,23%,25,20%,21,17%,4,3%
CARE Sheffield,49,44,38,1.42,53%,5%,42%,0%,4,0,1,0,0,0,0,0,3,3,0,54,50%,15,31%,12,24%,11,22%,1,2%,12,27%,12,32%,15,28%,12,22%,11,20%,1,2%
CARE Tamworth,41,41,33,1.27,45%,27%,27%,0%,0,0,0,0,3,2,0,0,0,3,0,42,73%,9,22%,8,20%,8,20%,0,0%,8,20%,8,24%,9,21%,8,19%,8,19%,0,0%
CARE Woking,155,150,134,1.39,45%,16%,39%,0%,4,1,0,0,3,1,0,0,2,10,0,186,72%,53,34%,41,26%,35,23%,6,4%,41,27%,41,31%,53,28%,41,22%,35,19%,6,3%
Centre for Reproduction & Gynaecology Wales (CRGW),66,63,50,1.28,68%,4%,28%,0%,2,0,0,1,2,0,0,0,5,6,0,64,60%,15,23%,10,15%,10,15%,0,0%,10,16%,10,20%,15,23%,10,16%,10,16%,0,0%
Centre for Reproduction and Gynaecology Wales and West,41,37,34,1.41,35%,24%,41%,0%,4,0,0,0,2,0,0,0,0,1,0,48,35%,6,15%,5,12%,5,12%,0,0%,5,14%,5,15%,6,13%,5,10%,5,10%,0,0%
The Centre for Reproductive and Genetic Health,116,116,115,1.6,30%,10%,60%,0%,0,0,0,0,0,1,0,0,0,0,0,184,77%,54,47%,46,40%,35,30%,11,9%,46,40%,46,40%,54,29%,46,25%,35,19%,11,6%
"Centre for Reproductive Medicine, Coventry",80,72,62,1.24,42%,34%,24%,0%,5,1,2,0,0,0,0,0,2,8,0,77,61%,18,23%,17,21%,17,21%,0,0%,17,24%,17,27%,18,23%,17,22%,17,22%,0,0%
